year,month,commodity,value
2020,January,"Fruits, prepared or preserved",40.662
2020,February,"Fruits, prepared or preserved",32.348
2020,March,"Fruits, prepared or preserved",19.269
2020,April,"Fruits, prepared or preserved",38.016
2020,May,"Fruits, prepared or preserved",40.699
2020,June,"Fruits, prepared or preserved",42.395
2020,July,"Fruits, prepared or preserved",41.914
2020,August,"Fruits, prepared or preserved",43.288
2020,September,"Fruits, prepared or preserved",30.491
2020,October,"Fruits, prepared or preserved",33.49
2020,November,"Fruits, prepared or preserved",33.194
2020,December,"Fruits, prepared or preserved",36.089
2020,January,"Vegetables, fresh or frozen",21.905
2020,February,"Vegetables, fresh or frozen",17.864
2020,March,"Vegetables, fresh or frozen",7.612
2020,April,"Vegetables, fresh or frozen",17.172
2020,May,"Vegetables, fresh or frozen",18.996
2020,June,"Vegetables, fresh or frozen",15.027
2020,July,"Vegetables, fresh or frozen",15.669
2020,August,"Vegetables, fresh or frozen",15.301
2020,September,"Vegetables, fresh or frozen",13.135
2020,October,"Vegetables, fresh or frozen",15.971
2020,November,"Vegetables, fresh or frozen",16.466
2020,December,"Vegetables, fresh or frozen",17.07
2020,January,"Vegetables, prepared or preserved",34.784
2020,February,"Vegetables, prepared or preserved",27.796
2020,March,"Vegetables, prepared or preserved",23.167
2020,April,"Vegetables, prepared or preserved",39.669
2020,May,"Vegetables, prepared or preserved",45.394
2020,June,"Vegetables, prepared or preserved",32.473
2020,July,"Vegetables, prepared or preserved",34.946
2020,August,"Vegetables, prepared or preserved",35.093
2020,September,"Vegetables, prepared or preserved",29.584
2020,October,"Vegetables, prepared or preserved",36.098
2020,November,"Vegetables, prepared or preserved",34.546
2020,December,"Vegetables, prepared or preserved",37.9
2021,January,"Fruits, prepared or preserved",37.913
2021,January,"Vegetables, fresh or frozen",16.397
2021,January,"Vegetables, prepared or preserved",36.641
2021,February,"Fruits, prepared or preserved",34.731
2021,February,"Vegetables, fresh or frozen",14.941
2021,February,"Vegetables, prepared or preserved",32.387
2021,March,"Fruits, prepared or preserved",40.836
2021,March,"Vegetables, fresh or frozen",20.225
2021,March,"Vegetables, prepared or preserved",37.062
2021,April,"Fruits, prepared or preserved",31.316
2021,April,"Vegetables, fresh or frozen",15.646
2021,April,"Vegetables, prepared or preserved",37.567
2021,May,"Fruits, prepared or preserved",33.188
2021,May,"Vegetables, fresh or frozen",16.401
2021,May,"Vegetables, prepared or preserved",37.751
2021,June,"Fruits, prepared or preserved",28.932
2021,June,"Vegetables, fresh or frozen",17.577
2021,June,"Vegetables, prepared or preserved",32.829
2021,July,"Fruits, prepared or preserved",26.401
2021,July,"Vegetables, fresh or frozen",17.19
2021,July,"Vegetables, prepared or preserved",26.471
2021,August,"Fruits, prepared or preserved",34.728
2021,August,"Vegetables, fresh or frozen",18.136
2021,August,"Vegetables, prepared or preserved",31.342
2021,September,"Fruits, prepared or preserved",30.489
2021,September,"Vegetables, fresh or frozen",10.974
2021,September,"Vegetables, prepared or preserved",29.673
